Species_Name,Collection_Number,Biomes,Habit,Habit_Sources,Continents,Continents_Sources
Bauhinia natalensis Oliv.,sn,Succulent,Tree/Shrub,https://plants.jstor.org/stable/10.5555/al.ap.flora.flosa000110031800014?searchUri=qtype%3Dall%26query%3DBauhinia%2Bnatalensis,Africa,Occurrence map
Bauhinia pauletia Pers.,1018,Succulent,Tree/Shrub,"http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Bauhinia%20pauletia/; Wunderlin, 1983; Forero & Castellanos, 2019; Castellanos & Lewis, 2012",Central_America+North_America+South_America,Occurrence map;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481550-1
Bauhinia pentandra (Bong.) Vogel ex D.Dietr.,49466,Savanna+Succulent,Tree/Shrub,"http://floradobrasil.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=1&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=en&grupo=5&familia=null&genero=Bauhinia&especie=&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica; Quieroz, 2009",South_America,Occurrence map
Bauhinia petersiana Bolle,86183,Savanna+Succulent,Tree/Shrub,https://www.zimbabweflora.co.zw/speciesdata/species.php?species_id=126790; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=176783,Africa,Occurrence map
Bauhinia phoenicea W.C.Cheng&Keng f.,364b,Rainforest,Tree/Shrub,,Asia,SW. India according to https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60457771-2
Bauhinia picta (Kunth) DC.,3205,Rainforest,Tree/Shrub,"http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Bauhinia%20picta/; Wunderlin, 1983; Forero & Castellanos, 2019; Castellanos & Lewis, 2012",Central_America+South_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481565-1
Bauhinia pinheiroi Wunderlin,2036,Rainforest,Tree/Shrub,http://floradobrasil.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=1&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=en&grupo=5&familia=null&genero=Bauhinia&especie=&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica,South_America,Occurrence map
Bauhinia podopetala Baker,1392,Succulent,Tree/Shrub,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=210601,Madagascar,Occurrence map
Bauhinia pottsii G.Don,27IV999,Rainforest+Savanna,Tree/Shrub,"De Wit, 1956; Hô, 1991",Asia,Occurrence map
Bauhinia pringlei S.Watson,63791,Succulent,Tree/Shrub,"Wunderlin, 1983",North_America,Occurrence map
