Species_Name,Collection_Number,Biomes,Habit,Habit_Sources,Continents,Continents_Sources
Schnella maximiliani (Benth.) Wunderlin,4568,Rainforest+Succulent,Liana,"Vaz, 2010; http://floradobrasil.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=25&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=&grupo=5&familia=null&genero=Schnella&especie=maximiliani&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica",South_America,Occurrence map
Schnella microstachya Raddi,1073,Rainforest+Succulent,Liana,"Quieroz, 2009; http://floradobrasil.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=33&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=&grupo=5&familia=null&genero=Schnella&especie=microstachya&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica; http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Bauhinia%20microstachya/",Central_America+North_America+South_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229762-2
Schnella outimouta (Aubl.) Wunderlin,1030,Rainforest,Liana,"Vaz, 2010; Quieroz, 2009",Central_America+South_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77111929-1
Schnella pterocalyx (Ducke) Wunderlin,1246,Rainforest,Liana,"Vaz, 2010",South_America,Occurrence map
Schnella siqueirae (Ducke) Wunderlin,18906,Rainforest,Liana,"Vaz, 2010",South_America,Occurrence map
Tournaya gossweileri (Baker f.) A.Schmitz,3504,Rainforest,Liana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:521411-1,Africa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:521411-1
Tylosema argentea (Chiov.) Brenan,35,Succulent,Herbaceous,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:524262-11,Africa,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77063994-1; https://www.gbif.org/tools/zoom/simple.html?src=//api.gbif.org/v1/image/unsafe/https%3A%2F%2Foxalis.br.fgov.be%2Fimages%2FBR0%2F000%2F015%2F742%2F520%2FBR0000015742520.jpg
Tylosema esculentum (Burch.) A.Schreib.,687,Savanna+Succulent,Herbaceous,https://eol.org/pages/638925; https://ildis.org/cgi-bin/Araneus.pl?version~10.01&LegumeWeb&tno~1055&genus~Tylosema&species~esculentum; https://plants.jstor.org/search?qtype=all&query=Bauhinia+bainesii; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69316,Africa,Occurrence map
Tylosema fassoglense (Kotschy ex Schweinf.) Torre & Hillc.,21XII976,Savanna+Succulent,Herbaceous,https://ildis.org/cgi-bin/Araneus.pl?version~10.01&LegumeWeb&tno~1056&genus~Tylosema&species~fassoglensis; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69317,Africa,Occurrence map
Tylosema humifusum (Pic.Serm. & Roti Mich.) Brenan,690,Savanna+Succulent,Herbaceous,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:524265-1; https://ildis.org/cgi-bin/Araneus.pl?version~10.01&LegumeWeb&tno~1057&genus~Tylosema&species~humifusa; https://plants.jstor.org/search?qtype=all&query=Bauhinia+humifusa; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69319,Africa,Occurrence map
